H;200;199;1
E;0;4;35
E;0;6;12
E;0;24;5
E;0;35;23
E;0;42;17
E;0;73;14
E;0;79;17
E;0;85;36
E;0;92;2
E;0;109;8
E;0;148;26
E;0;160;34
E;1;10;13
E;1;24;2
E;1;27;1
E;1;32;32
E;1;57;22
E;1;94;40
E;1;134;67
E;1;141;1
E;1;142;0
E;2;84;53
E;2;101;6
E;2;168;5
E;2;187;5
E;3;27;2
E;3;131;45
E;5;45;33
E;5;77;6
E;5;171;12
E;5;172;13
E;6;181;23
E;6;196;6
E;7;9;25
E;7;17;17
E;7;19;12
E;7;36;46
E;7;83;12
E;8;19;1
E;8;21;3
E;8;37;2
E;8;49;19
E;8;78;12
E;8;88;10
E;8;150;19
E;8;161;13
E;8;180;33
E;9;64;56
E;9;162;16
E;10;33;43
E;10;95;10
E;10;149;3
E;10;186;35
E;11;28;25
E;11;30;18
E;11;44;10
E;11;72;10
E;11;98;9
E;12;78;9
E;12;104;28
E;12;117;3
E;13;31;0
E;13;189;29
E;13;194;42
E;13;198;11
E;14;15;8
E;14;39;4
E;14;81;10
E;14;132;46
E;14;159;25
E;14;167;7
E;15;34;3
E;15;51;7
E;15;71;49
E;15;98;20
E;15;99;18
E;15;133;2
E;16;70;15
E;16;89;16
E;16;131;19
E;17;86;13
E;17;124;27
E;17;130;5
E;18;155;9
E;18;175;17
E;19;164;22
E;20;29;30
E;22;29;20
E;22;199;14
E;23;35;3
E;24;74;21
E;24;187;3
E;25;30;1
E;26;62;10
E;26;68;5
E;27;52;19
E;27;120;25
E;27;175;5
E;28;96;9
E;28;156;9
E;29;54;16
E;29;123;15
E;29;127;11
E;30;112;2
E;30;166;36
E;31;73;23
E;31;190;0
E;32;65;12
E;32;146;22
E;33;135;70
E;34;46;22
E;34;68;6
E;34;143;8
E;34;145;9
E;38;69;33
E;38;114;24
E;38;115;14
E;38;185;67
E;38;197;2
E;39;102;42
E;39;126;62
E;40;86;32
E;40;151;15
E;41;62;4
E;41;116;70
E;41;139;28
E;42;59;9
E;42;67;18
E;42;110;28
E;43;122;21
E;44;192;4
E;47;53;37
E;48;50;28
E;48;74;6
E;50;144;28
E;51;187;2
E;52;53;3
E;52;75;50
E;52;121;6
E;54;192;3
E;55;173;17
E;56;196;15
E;57;80;35
E;57;158;2
E;58;66;15
E;58;90;33
E;58;179;9
E;60;134;21
E;61;127;24
E;62;106;10
E;62;129;32
E;63;67;14
E;63;125;11
E;66;92;21
E;66;111;16
E;66;136;1
E;67;137;13
E;69;169;31
E;71;87;15
E;74;91;25
E;76;103;31
E;76;176;0
E;77;83;8
E;77;143;2
E;77;197;12
E;78;191;11
E;81;82;18
E;83;153;18
E;86;93;30
E;91;152;25
E;94;108;10
E;95;118;28
E;95;184;32
E;97;111;11
E;100;156;9
E;101;176;12
E;102;122;3
E;102;154;45
E;105;163;25
E;107;162;21
E;107;193;41
E;113;178;0
E;114;174;48
E;115;140;14
E;119;128;53
E;119;197;7
E;120;182;36
E;121;157;53
E;137;183;15
E;138;139;18
E;143;163;5
E;147;186;39
E;155;170;13
E;158;165;64
E;161;178;2
E;164;177;29
E;164;188;37
E;167;195;19
E;173;191;40
