kernel,input,runtime
histogram_original,random_1,0.000567506
histogram_tlb,random_1,0.00189136
histogram_tlb_blr,random_1,0.0012141
histogram_linear,random_1,0.000857331
histogram_block_partition,random_1,3.4545e-05
histogram_original,random_2,0.000453872
histogram_tlb,random_2,0.00183243
histogram_tlb_blr,random_2,0.00120093
histogram_linear,random_2,0.000831782
histogram_block_partition,random_2,2.3424e-05
histogram_original,random_5,0.000236825
histogram_tlb,random_5,0.00183354
histogram_tlb_blr,random_5,0.00120957
histogram_linear,random_5,0.000831642
histogram_block_partition,random_5,1.7233e-05
histogram_original,random_256,0.00021823
histogram_tlb,random_256,0.00177819
histogram_tlb_blr,random_256,0.00157719
histogram_linear,random_256,0.000620345
histogram_block_partition,random_256,1.0791e-05
