kernel,input,runtime
histogram_original,random_1,0.00549237
histogram_tlb,random_1,0.00162301
histogram_tlb_blr,random_1,0.00118459
histogram_linear,random_1,0.0208085
histogram_block_partition,random_1,0.000203412
histogram_original,random_2,0.00548877
histogram_tlb,random_2,0.00163062
histogram_tlb_blr,random_2,0.00118371
histogram_linear,random_2,0.0208078
histogram_block_partition,random_2,0.00020276
histogram_original,random_5,0.00549183
histogram_tlb,random_5,0.00162624
histogram_tlb_blr,random_5,0.00118401
histogram_linear,random_5,0.0208066
histogram_block_partition,random_5,0.000203323
histogram_original,random_256,0.00549155
histogram_tlb,random_256,0.00162797
histogram_tlb_blr,random_256,0.00118242
histogram_linear,random_256,0.02081
histogram_block_partition,random_256,0.000203523
