kernel,input,runtime
histogram_original,random_1,0.00137765
histogram_tlb,random_1,0.00147179
histogram_tlb_blr,random_1,0.00105362
histogram_linear,random_1,0.00521392
histogram_block_partition,random_1,5.6536e-05
histogram_original,random_2,0.00137696
histogram_tlb,random_2,0.00147291
histogram_tlb_blr,random_2,0.00105236
histogram_linear,random_2,0.00521282
histogram_block_partition,random_2,5.6907e-05
histogram_original,random_5,0.00137741
histogram_tlb,random_5,0.0014742
histogram_tlb_blr,random_5,0.0010531
histogram_linear,random_5,0.00521349
histogram_block_partition,random_5,5.6747e-05
histogram_original,random_256,0.00137734
histogram_tlb,random_256,0.00147384
histogram_tlb_blr,random_256,0.00105225
histogram_linear,random_256,0.00521482
histogram_block_partition,random_256,5.6386e-05
