kernel,input,runtime
histogram_original,random_1,0.000116139
histogram_tlb,random_1,0.00163259
histogram_tlb_blr,random_1,0.00124908
histogram_linear,random_1,0.00521237
histogram_block_partition,random_1,4.0455e-05
histogram_original,random_2,0.000116158
histogram_tlb,random_2,0.00166194
histogram_tlb_blr,random_2,0.00125407
histogram_linear,random_2,0.00521418
histogram_block_partition,random_2,4.0406e-05
histogram_original,random_5,0.000115907
histogram_tlb,random_5,0.00166556
histogram_tlb_blr,random_5,0.00124852
histogram_linear,random_5,0.0052148
histogram_block_partition,random_5,4.0185e-05
histogram_original,random_256,0.000115739
histogram_tlb,random_256,0.0016604
histogram_tlb_blr,random_256,0.0012605
histogram_linear,random_256,0.00521441
histogram_block_partition,random_256,4.0526e-05
