kernel,input,runtime
histogram_original,random_1,2.0258e-05
histogram_tlb,random_1,0.00139936
histogram_tlb_blr,random_1,0.00104531
histogram_linear,random_1,0.000353784
histogram_block_partition,random_1,9.819e-06
histogram_original,random_2,1.9967e-05
histogram_tlb,random_2,0.0013913
histogram_tlb_blr,random_2,0.00104561
histogram_linear,random_2,0.000353765
histogram_block_partition,random_2,9.729e-06
histogram_original,random_5,2.0007e-05
histogram_tlb,random_5,0.00139346
histogram_tlb_blr,random_5,0.00104547
histogram_linear,random_5,0.000354045
histogram_block_partition,random_5,9.899e-06
histogram_original,random_256,2.0147e-05
histogram_tlb,random_256,0.00139079
histogram_tlb_blr,random_256,0.0010426
histogram_linear,random_256,0.000353564
histogram_block_partition,random_256,9.958e-06
