kernel,input,runtime
histogram_original,random_1,0.00057467
histogram_tlb,random_1,0.00278019
histogram_tlb_blr,random_1,0.00270723
histogram_linear,random_1,0.0061725
histogram_block_partition,random_1,4.7189e-05
histogram_original,random_2,0.000574268
histogram_tlb,random_2,0.00278957
histogram_tlb_blr,random_2,0.00270202
histogram_linear,random_2,0.00617381
histogram_block_partition,random_2,4.7379e-05
histogram_original,random_5,0.000574599
histogram_tlb,random_5,0.00279348
histogram_tlb_blr,random_5,0.00271086
histogram_linear,random_5,0.00617465
histogram_block_partition,random_5,4.7819e-05
histogram_original,random_256,0.000574348
histogram_tlb,random_256,0.00279545
histogram_tlb_blr,random_256,0.00270679
histogram_linear,random_256,0.00617316
histogram_block_partition,random_256,4.7549e-05
