kernel,input,runtime
histogram_original,random_1,0.00268462
histogram_tlb,random_1,0.00216136
histogram_tlb_blr,random_1,0.00136721
histogram_linear,random_1,0.00689767
histogram_block_partition,random_1,0.000105729
histogram_original,random_2,0.00161566
histogram_tlb,random_2,0.00167843
histogram_tlb_blr,random_2,0.001144
histogram_linear,random_2,0.00568585
histogram_block_partition,random_2,6.4862e-05
histogram_original,random_5,0.000855717
histogram_tlb,random_5,0.00150725
histogram_tlb_blr,random_5,0.00107718
histogram_linear,random_5,0.00523349
histogram_block_partition,random_5,4.1989e-05
histogram_original,random_256,0.000678755
histogram_tlb,random_256,0.00383258
histogram_tlb_blr,random_256,0.00367475
histogram_linear,random_256,0.00520983
histogram_block_partition,random_256,4.0826e-05
