kernel,input,runtime
histogram_original,random_1,0.000113252
histogram_tlb,random_1,0.0021567
histogram_tlb_blr,random_1,0.00148288
histogram_linear,random_1,0.000533102
histogram_block_partition,random_1,1.3916e-05
histogram_original,random_2,0.000108363
histogram_tlb,random_2,0.00209225
histogram_tlb_blr,random_2,0.00147978
histogram_linear,random_2,0.000533511
histogram_block_partition,random_2,1.4187e-05
histogram_original,random_5,0.000107762
histogram_tlb,random_5,0.00208501
histogram_tlb_blr,random_5,0.00148196
histogram_linear,random_5,0.000377839
histogram_block_partition,random_5,1.1883e-05
histogram_original,random_256,7.8278e-05
histogram_tlb,random_256,0.00154218
histogram_tlb_blr,random_256,0.00123397
histogram_linear,random_256,0.000378271
histogram_block_partition,random_256,1.2193e-05
