kernel,input,runtime
histogram_original,random_1,0.000186551
histogram_tlb,random_1,0.00137355
histogram_tlb_blr,random_1,0.00100491
histogram_linear,random_1,0.000354135
histogram_block_partition,random_1,1.4137e-05
histogram_original,random_2,0.000186361
histogram_tlb,random_2,0.00137134
histogram_tlb_blr,random_2,0.00100495
histogram_linear,random_2,0.000354106
histogram_block_partition,random_2,1.3886e-05
histogram_original,random_5,0.000186299
histogram_tlb,random_5,0.00137196
histogram_tlb_blr,random_5,0.00100483
histogram_linear,random_5,0.000354737
histogram_block_partition,random_5,1.5359e-05
histogram_original,random_256,0.000187172
histogram_tlb,random_256,0.00137335
histogram_tlb_blr,random_256,0.00100364
histogram_linear,random_256,0.000354545
histogram_block_partition,random_256,1.4848e-05
