kernel,input,runtime
histogram_original,random_1,0.00137805
histogram_tlb,random_1,0.00147524
histogram_tlb_blr,random_1,0.0010533
histogram_linear,random_1,0.00521189
histogram_block_partition,random_1,5.7027e-05
histogram_original,random_2,0.00137787
histogram_tlb,random_2,0.00147362
histogram_tlb_blr,random_2,0.00105672
histogram_linear,random_2,0.00521224
histogram_block_partition,random_2,5.7768e-05
histogram_original,random_5,0.00137859
histogram_tlb,random_5,0.0014744
histogram_tlb_blr,random_5,0.00105317
histogram_linear,random_5,0.00521098
histogram_block_partition,random_5,5.7658e-05
histogram_original,random_256,0.00137732
histogram_tlb,random_256,0.00147199
histogram_tlb_blr,random_256,0.00105396
histogram_linear,random_256,0.00520887
histogram_block_partition,random_256,5.6937e-05
