kernel,input,runtime
histogram_original,random_1,0.000399861
histogram_tlb,random_1,0.00230679
histogram_tlb_blr,random_1,0.00153302
histogram_linear,random_1,0.000651625
histogram_block_partition,random_1,3.0527e-05
histogram_original,random_2,0.000399951
histogram_tlb,random_2,0.00230047
histogram_tlb_blr,random_2,0.00153745
histogram_linear,random_2,0.000652125
histogram_block_partition,random_2,3.1299e-05
histogram_original,random_5,0.000400622
histogram_tlb,random_5,0.00231049
histogram_tlb_blr,random_5,0.00153208
histogram_linear,random_5,0.000652325
histogram_block_partition,random_5,3.1319e-05
histogram_original,random_256,0.000400763
histogram_tlb,random_256,0.00230346
histogram_tlb_blr,random_256,0.00153334
histogram_linear,random_256,0.000652195
histogram_block_partition,random_256,3.1389e-05
