kernel,input,runtime
histogram_original,random_1,0.00686775
histogram_tlb,random_1,0.00159583
histogram_tlb_blr,random_1,0.00117511
histogram_linear,random_1,0.0207975
histogram_block_partition,random_1,0.000341842
histogram_original,random_2,0.00686565
histogram_tlb,random_2,0.00160036
histogram_tlb_blr,random_2,0.0011734
histogram_linear,random_2,0.0207951
histogram_block_partition,random_2,0.000341861
histogram_original,random_5,0.00686607
histogram_tlb,random_5,0.00160595
histogram_tlb_blr,random_5,0.0011725
histogram_linear,random_5,0.0207989
histogram_block_partition,random_5,0.000341792
histogram_original,random_256,0.00686562
histogram_tlb,random_256,0.00159548
histogram_tlb_blr,random_256,0.00117156
histogram_linear,random_256,0.0207966
histogram_block_partition,random_256,0.000341982
