kernel,input,runtime
histogram_original,random_1,0.00549147
histogram_tlb,random_1,0.00162979
histogram_tlb_blr,random_1,0.00118232
histogram_linear,random_1,0.0208042
histogram_block_partition,random_1,0.000202991
histogram_original,random_2,0.00548842
histogram_tlb,random_2,0.0016225
histogram_tlb_blr,random_2,0.00118369
histogram_linear,random_2,0.0208015
histogram_block_partition,random_2,0.000203242
histogram_original,random_5,0.00548805
histogram_tlb,random_5,0.00163298
histogram_tlb_blr,random_5,0.00118208
histogram_linear,random_5,0.0208048
histogram_block_partition,random_5,0.000203272
histogram_original,random_256,0.00549145
histogram_tlb,random_256,0.00163181
histogram_tlb_blr,random_256,0.00118519
histogram_linear,random_256,0.0208051
histogram_block_partition,random_256,0.000203331
