kernel,input,runtime
histogram_original,random_1,0.00173737
histogram_tlb,random_1,0.00147541
histogram_tlb_blr,random_1,0.00105565
histogram_linear,random_1,0.00520794
histogram_block_partition,random_1,9.0821e-05
histogram_original,random_2,0.00172065
histogram_tlb,random_2,0.00146657
histogram_tlb_blr,random_2,0.00105113
histogram_linear,random_2,0.00520987
histogram_block_partition,random_2,9.071e-05
histogram_original,random_5,0.00172108
histogram_tlb,random_5,0.00146748
histogram_tlb_blr,random_5,0.00105167
histogram_linear,random_5,0.0052115
histogram_block_partition,random_5,9.092e-05
histogram_original,random_256,0.00172073
histogram_tlb,random_256,0.0014628
histogram_tlb_blr,random_256,0.00105119
histogram_linear,random_256,0.00521155
histogram_block_partition,random_256,9.074e-05
